Date,Close/Last,Volume,Open,High,Low
1231,$173.555,53724500,$173.02,$174.03,$171.90
1230,$171.77,45326870,$173.05,$173.54,$171.60
1229,$173.50,55962790,$172.48,$173.85,$172.11
1226,$173.57,113453200,$170.975,$174.30,$170.76
1225,$165.79,81235430,$164.89,$167.04,$164.31
1224,$167.45,65136020,$169.50,$170.92,$167.16
1223,$168.54,48425700,$170.09,$170.35,$167.54
1222,$169.59,52472940,$169.28,$170.45,$168.64
1219,$169.68,55275850,$168.49,$169.85,$167.8801
1218,$168.41,64902330,$165.19,$168.56,$165.19
1217,$163.76,45498800,$163.055,$165.28,$162.80
1216,$163.77,48714060,$165.19,$166.305,$163.73
1215,$165.33,41949580,$165.00,$165.60,$163.89
1212,$165.02,58337340,$165.05,$166.4521,$164.49
1211,$166.65,52456380,$166.09,$167.87,$165.56
1210,$167.63,47720170,$165.80,$168.16,$165.54
1209,$166.47,49923010,$166.10,$167.41,$165.65
1208,$165.23,41516220,$165.09,$165.39,$164.03
1205,$165.21,49386480,$164.59,$166.32,$163.82
1204,$165.56,68445650,$161.63,$165.80,$161.42
1203,$160.10,50133060,$161.22,$162.06,$159.78
1202,$160.80,47644220,$162.35,$162.36,$160.51
1201,$162.03,47716880,$161.42,$162.03,$160.08
1197,$164.66,45390120,$162.43,$164.9584,$162.00
1196,$163.76,51511740,$164.74,$165.05,$161.80
1195,$165.63,46278300,$166.595,$166.84,$165.11
1194,$166.17,56976190,$164.27,$166.29,$164.22
1191,$164.90,68749790,$162.44,$165.00,$161.91
1190,$162.36,49501690,$161.53,$162.47,$161.271
1189,$160.77,51305690,$159.37,$161.05,$159.35
1188,$157.65,45992150,$157.97,$158.49,$155.98
1187,$158.28,52390270,$159.94,$160.77,$157.87
1184,$160.25,59256340,$158.86,$160.34,$157.85
1183,$158.93,67622060,$158.83,$161.5501,$157.68
1182,$157.83,75701810,$159.30,$162.14,$157.81
1181,$159.28,73938290,$157.32,$159.40,$156.54
1180,$157.40,73641420,$155.07,$157.82,$154.15
1177,$155.00,98944630,$156.08,$156.74,$154.28
1176,$155.85,76254420,$152.16,$156.46,$151.64
